psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
202491,2,1,6,4,S,1,2,2,1,2,4,4,4,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,20, ,10,1, ,50, ,20,10, ,1,4,1,4,4,1,4,1,1,2,4,1,2,3,4,2,4,4,4,4,1,2,9,1,1,2,2,1,8,2,9,4,4,5,4,2,1,2,1,6,3,6,4,1,350,2, , ,4,1,1,1,1,1,1,1,2,2,2,2,3,3,3,2, ,2,3,3,3,47,2,3,6,5,2, ,1,9, , ,1,2,92675,2,.653861723312294
202494,2,1,18,2,U,1,2,3,1,2,3,3,3,1,1,3,1,1,3,3,1,2,1,1,2,1,2,1,2,1, , , , ,1,2,2,1,4, ,3,1, ,75, ,40,3, ,1,1,1,4,3,1,4,4,4,4,1,1,3,2,4,2,4,2, ,4,3,2,3,3,2,4, ,2,1,2,2,2,2, ,4,4,3,4,4, , ,5, ,2,80,2, , ,7,1,1,2,4,1,1,1,1,2,1,2,2,1,1,1, ,1,3,1,2,56,3,5,5,1,2, ,2,5, , ,2, ,46628,3.71875,1.2157741417838
202497,2,1,26,2,S,1,1,4,1,1,3,2,2,1,3,2,1,2,2,3,1,1,1,2,2,2,2,2,2,2,1,2, , ,2,2,2,1,6, ,3,1, ,50, ,20, , ,4,4,4,1,4,1,1,4,1,4,1,1,3,1,4,1,4, , ,1,4,1,1,1,1, , ,1,2,2,2,2, , ,3,3,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44,3,4,5,1,2, ,2,6, , ,1,1,49508,3.6875,1.20555755235704
202499,2,1,48,3,U,1,2,3,3,2,3,3,2,1,1,3,3,1,3,3,1,1,1,1,2,1,2,2,2,1, , , , ,1,2,1,1,50, ,15,0, ,50, ,50,1, ,1,1,1,1,4,1,4,4,1,4,4,1,3,2,2,1,1,1, ,1,4,1,2,1,1,8, , ,1,1,1,1,1, ,3,2,2,2,2, , , , ,3,500,2, , ,6,3,3,3,3,2,1,1,1,3,1,3,3,1,3,3, ,3,3,3,3,50,2,2,6,1,2, ,1,7, , ,1,1,79912,2.0625,.674294902165803
202504,2,1,29,2,U,2,1,3,6,2,2,1,2,2,3,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1, , , , ,8,2,1,1,15, ,7,5, ,997, , ,10, ,1,2,4,1,4,4,3,2,4,1,4,1,1,3,4,2,2,2, ,4,2,1,3,1,1,1, , ,3,3,3,2,3, ,2,2,4,2,4, , , , ,4,10,1,1,5,2,3,2,2,2,1,3,1,2,1,1,1,1,3,3,1, ,1,3,3,3,29,2,2,2,4,1,1,2,2, , ,2, ,63107,3.15625,1.03187553210221
202506,2,1,1,3,U,2,2,4,3,2,1,2,1,1,2,2,2,2,4,1,1,1,2,1,2,2,2,2,2,1, , , , ,8,2,1,1,20, ,5,2, ,0, , , , ,1,1,4,1,1,1,1,4,2,2,2,1,1,2,1,2,2,4, ,2,4,1,1,1,1,3, , ,2,2,2,4,2, ,4,4,4,4,4, , , , ,2,5,2, , ,6,4,5,7,7,2,2,3,2,2,2,2,2,1,1,1, ,2,3,3,3,56,2,5,4,1,2, ,2,4, , ,1,1,36303,2.15625,.704944670446067
202508,2,1,27,2,U,2,1,3,3,2,4,2,2,1,2,3,2,1,3,3,1,1,1,1,2,1,2,2,1,1, , , , ,1,1,1,1,6, ,2,0, ,30, ,10,0, ,2,4,1,4,2,1,4,2,4,4,2,1,2,3,4,1,3,4, ,3,4,1,1,1,1,3, , ,1,1,1,1,1, ,1,2,1,2,1, , , ,6,5,60,2, , ,5,5,5,5,6,2,1,1,1,2,2,2,2,3,3,1, ,2,3,3,3,39,4,3,8,1,2, ,1,7, , ,2, ,55414,4.0625,1.3281566254781
202510,2,1,48,3,S,2,2,3,1,2,1,2,1,1,2,1,3,3,1,2,1,1,1,2,2,1,2,1,1,1, , , , ,1,1,1,1,10, ,3,0, ,2, ,1,3, ,1,1,2,1,2,1,1,2,1,1,1,1,2,3,4,2,3,4, ,4,3,3,3,2,2,4, ,4,2,2,2,2,2, ,1,1,1,1,2, , ,5,6,2,50,2, , ,6,3,3,3,6,1,1,1,2,1,1,2,1,3,3,1, ,1,3,2,3,41,4,2,2,1,2, ,1,6, , ,1,1,75044,6.40625,2.09440083248469
202516,2,1,20,2,R,2,1,2,1,1,3,3,3,1,1,3,1,1,2,3,1,1,2,2,2,1,1,2,2,1, , , , ,1,1,1,1,20, ,3,5, ,5, ,5,3, ,1,4,4,4,1,4,4,4,4,4,4,1,4,3,4,3,4,4, ,4,3,3,3,3,3,3, ,1,1,1,1,1,1, ,2,2,2,2,2, ,1, , ,1,150,2, , ,6,3,6,6,6,2,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,31,2,2,3,1,2, ,1,6, , ,2, ,67401,3.4375,1.12382483694301
202518,2,1,1,3,U,1,2,3,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1, , , , ,8,1,1,1,10, ,3,0, ,25, ,10,10, ,2,2,2,4,4,2,4,4,1,2,2,1,3,3,3,4,4,4, ,4,2,3,2,3,2,3, ,1,2,2,8,8,8, ,3,3,2,2,2, , , , ,1,100,2, , ,7,6,2,2,6,2,3,1,1,1,2,2,1,3,2,3, ,3,3,3,3,50,1,2,6,1,2, ,1,6, , ,2, ,36609,3.03125,.991009174395196
